"pid","grp","duration","entry","exit","num"
4,"inactive",5,0,31,7046
16,"inactive",5,0,25,7046
24,"inactive",5,0,26,7046
30,"inactive",5,0,30,7046
34,"inactive",5,0,30,7046
36,"inactive",6,1,25,7046
41,"inactive",6,1,26,7046
51,"inactive",6,1,33,7046
61,"inactive",6,1,32,7046
62,"inactive",6,1,29,7046
67,"inactive",6,1,31,7046
72,"inactive",7,2,38,7046
84,"inactive",7,2,34,7046
98,"inactive",7,2,33,7046
111,"inactive",8,3,36,7046
114,"inactive",8,3,36,7046
120,"inactive",8,3,37,7046
122,"inactive",8,3,36,7046
127,"inactive",8,3,41,7046
135,"inactive",9,4,40,7046
144,"inactive",9,4,44,7046
160,"inactive",9,4,40,7046
172,"inactive",10,5,45,7046
175,"inactive",10,5,42,7046
190,"inactive",10,5,52,7046
192,"inactive",10,5,45,7046
205,"inactive",10,5,48,7046
215,"inactive",11,6,53,7046
220,"inactive",11,6,51,7046
225,"inactive",11,6,47,7046
235,"inactive",11,6,53,7046
251,"inactive",12,7,50,7046
263,"inactive",12,7,55,7046
265,"inactive",12,7,54,7046
271,"inactive",13,8,57,7046
273,"inactive",13,8,52,7046
276,"inactive",13,8,56,7046
278,"inactive",13,8,52,7046
286,"inactive",13,8,57,7046
288,"inactive",13,8,56,7046
293,"inactive",14,9,61,7046
297,"inactive",14,9,59,7046
334,"inactive",15,10,64,7046
336,"inactive",15,10,63,7046
338,"inactive",15,10,64,7046
344,"inactive",15,10,63,7046
354,"inactive",16,11,62,7046
359,"inactive",16,11,68,7046
362,"inactive",16,11,68,7046
363,"inactive",16,11,73,7046
366,"inactive",16,11,66,7046
379,"inactive",17,12,75,7046
385,"inactive",17,12,79,7046
390,"inactive",17,12,73,7046
395,"inactive",17,12,75,7046
413,"inactive",18,13,73,7046
414,"inactive",18,13,69,7046
418,"inactive",18,13,76,7046
441,"inactive",19,14,77,7046
447,"inactive",19,14,79,7046
466,"inactive",20,15,78,7046
469,"inactive",20,15,79,7046
481,"inactive",21,16,78,7046
487,"inactive",21,16,88,7046
490,"inactive",21,16,84,7046
491,"inactive",21,16,84,7046
498,"inactive",21,16,84,7046
499,"inactive",21,16,83,7046
525,"inactive",22,17,86,7046
528,"inactive",22,17,85,7046
531,"inactive",22,17,86,7046
534,"inactive",22,17,90,7046
535,"inactive",22,17,90,7046
544,"inactive",23,18,92,7046
546,"inactive",23,18,88,7046
553,"inactive",23,18,90,7046
575,"inactive",24,19,95,7046
592,"inactive",24,19,92,7046
601,"inactive",25,20,95,7046
606,"inactive",25,20,100,7046
621,"inactive",25,20,96,7046
623,"inactive",25,20,98,7046
624,"inactive",25,20,102,7046
636,"inactive",26,21,105,7046
640,"inactive",26,21,101,7046
641,"inactive",26,21,101,7046
649,"inactive",26,21,104,7046
658,"inactive",27,22,102,7046
676,"inactive",27,22,106,7046
688,"inactive",27,22,110,7046
695,"inactive",28,23,111,7046
697,"inactive",28,23,105,7046
700,"inactive",28,23,112,7046
724,"inactive",28,23,112,7046
727,"inactive",28,23,110,7046
730,"inactive",28,23,113,7046
732,"inactive",29,24,115,7046
739,"inactive",29,24,116,7046
756,"inactive",29,24,117,7046
759,"inactive",29,24,119,7046
761,"inactive",29,24,119,7046
765,"inactive",29,24,116,7046
767,"inactive",29,24,118,7046
770,"inactive",30,25,122,7046
774,"inactive",30,25,118,7046
782,"inactive",30,25,117,7046
783,"inactive",30,25,118,7046
786,"inactive",30,25,115,7046
789,"inactive",30,25,117,7046
790,"inactive",30,25,120,7046
791,"inactive",30,25,121,7046
798,"inactive",30,25,124,7046
807,"inactive",31,26,124,7046
808,"inactive",31,26,119,7046
812,"inactive",31,26,121,7046
819,"inactive",31,26,128,7046
828,"inactive",32,27,127,7046
832,"inactive",32,27,124,7046
834,"inactive",32,27,124,7046
839,"inactive",32,27,123,7046
840,"inactive",32,27,125,7046
841,"inactive",32,27,127,7046
846,"inactive",32,27,126,7046
850,"inactive",33,28,129,7046
852,"inactive",33,28,129,7046
862,"inactive",33,28,130,7046
874,"inactive",33,28,128,7046
884,"inactive",33,28,132,7046
895,"inactive",34,29,133,7046
911,"inactive",34,29,139,7046
916,"inactive",34,29,138,7046
922,"inactive",34,29,138,7046
923,"inactive",35,30,134,7046
928,"inactive",35,30,138,7046
929,"inactive",35,30,141,7046
941,"inactive",35,30,141,7046
942,"inactive",35,30,142,7046
950,"inactive",36,31,141,7046
957,"inactive",36,31,141,7046
963,"inactive",36,31,139,7046
972,"inactive",36,31,142,7046
976,"inactive",36,31,146,7046
979,"inactive",36,31,144,7046
982,"inactive",37,32,144,7046
991,"inactive",37,32,144,7046
993,"inactive",37,32,144,7046
999,"inactive",37,32,142,7046
1000,"inactive",37,32,150,7046
1004,"inactive",37,32,148,7046
1010,"inactive",38,33,145,7046
1012,"inactive",38,33,153,7046
1015,"inactive",38,33,153,7046
1029,"inactive",38,33,157,7046
1030,"inactive",38,33,148,7046
1033,"inactive",38,33,146,7046
1036,"inactive",38,33,149,7046
1037,"inactive",38,33,147,7046
1038,"inactive",38,33,151,7046
1043,"inactive",39,34,149,7046
1070,"inactive",40,35,153,7046
1078,"inactive",40,35,153,7046
1087,"inactive",41,36,162,7046
1091,"inactive",41,36,158,7046
1099,"inactive",41,36,158,7046
1109,"inactive",41,36,155,7046
1115,"inactive",41,36,164,7046
1126,"inactive",42,37,162,7046
1129,"inactive",42,37,158,7046
1131,"inactive",42,37,161,7046
1139,"inactive",42,37,163,7046
1141,"inactive",42,37,160,7046
1149,"inactive",43,38,164,7046
1156,"inactive",43,38,166,7046
1159,"inactive",43,38,164,7046
1160,"inactive",43,38,165,7046
1163,"inactive",43,38,164,7046
1165,"inactive",43,38,168,7046
1168,"inactive",43,38,166,7046
1169,"inactive",43,38,163,7046
1178,"inactive",44,39,164,7046
1192,"inactive",44,39,167,7046
1193,"inactive",44,39,172,7046
1200,"inactive",44,39,167,7046
1203,"inactive",44,39,171,7046
1206,"inactive",45,40,169,7046
1210,"inactive",45,40,172,7046
1212,"inactive",45,40,170,7046
1215,"inactive",45,40,171,7046
1225,"inactive",45,40,173,7046
1227,"inactive",45,40,170,7046
1228,"inactive",45,40,170,7046
1233,"inactive",45,40,172,7046
1242,"inactive",46,41,174,7046
1245,"inactive",46,41,171,7046
1247,"inactive",46,41,175,7046
1258,"inactive",46,41,174,7046
1260,"inactive",46,41,177,7046
1261,"inactive",46,41,176,7046
1264,"inactive",47,42,176,7046
1278,"inactive",47,42,178,7046
1293,"inactive",47,42,178,7046
1303,"inactive",48,43,183,7046
1311,"inactive",48,43,184,7046
1314,"inactive",48,43,184,7046
1320,"inactive",48,43,181,7046
1333,"inactive",49,44,185,7046
1344,"inactive",49,44,185,7046
1346,"inactive",49,44,186,7046
1347,"inactive",49,44,187,7046
1348,"inactive",49,44,184,7046
1353,"inactive",49,44,187,7046
1370,"inactive",50,45,192,7046
1374,"inactive",50,45,190,7046
1383,"inactive",51,46,187,7046
1427,"inactive",52,47,197,7046
1433,"inactive",53,48,196,7046
1438,"inactive",53,48,199,7046
1447,"inactive",53,48,199,7046
1448,"inactive",53,48,198,7046
1449,"inactive",53,48,199,7046
1451,"inactive",53,48,202,7046
1455,"inactive",54,49,201,7046
1472,"inactive",54,49,201,7046
1481,"inactive",55,50,204,7046
1484,"inactive",55,50,206,7046
1500,"inactive",55,50,208,7046
1505,"inactive",55,50,207,7046
1511,"inactive",55,50,206,7046
1517,"inactive",56,51,207,7046
1526,"inactive",56,51,209,7046
1548,"inactive",57,52,212,7046
1555,"inactive",57,52,215,7046
1564,"inactive",57,52,210,7046
1571,"inactive",57,52,212,7046
1591,"inactive",58,53,217,7046
1594,"inactive",58,53,220,7046
1600,"inactive",59,54,217,7046
1603,"inactive",59,54,217,7046
1610,"inactive",59,54,219,7046
1617,"inactive",59,54,220,7046
1625,"inactive",59,54,219,7046
1626,"inactive",59,54,218,7046
1628,"inactive",60,55,221,7046
1640,"inactive",60,55,220,7046
1655,"inactive",60,55,222,7046
1656,"inactive",60,55,226,7046
1664,"inactive",61,56,224,7046
1671,"inactive",61,56,223,7046
1676,"inactive",61,56,232,7046
1684,"inactive",61,56,230,7046
1702,"inactive",62,57,229,7046
1709,"inactive",62,57,233,7046
1715,"inactive",62,57,230,7046
1724,"inactive",63,58,232,7046
1728,"inactive",63,58,229,7046
1736,"inactive",63,58,236,7046
1739,"inactive",63,58,238,7046
1740,"inactive",63,58,232,7046
1743,"inactive",63,58,231,7046
1745,"inactive",63,58,236,7046
1746,"inactive",63,58,236,7046
1757,"inactive",64,59,235,7046
1768,"inactive",64,59,237,7046
1774,"inactive",65,60,239,7046
1778,"inactive",65,60,239,7046
1784,"inactive",65,60,241,7046
1789,"inactive",65,60,237,7046
1791,"inactive",65,60,239,7046
1795,"inactive",65,60,243,7046
1798,"inactive",65,60,237,7046
1799,"inactive",65,60,242,7046
1800,"inactive",65,60,239,7046
1808,"inactive",66,61,244,7046
1818,"inactive",66,61,240,7046
1835,"inactive",67,62,246,7046
1841,"inactive",67,62,250,7046
1844,"inactive",67,62,246,7046
1845,"inactive",67,62,247,7046
1848,"inactive",67,62,248,7046
1859,"inactive",67,62,248,7046
1860,"inactive",67,62,251,7046
1864,"inactive",68,63,248,7046
1871,"inactive",68,63,248,7046
1872,"inactive",68,63,252,7046
1877,"inactive",68,63,254,7046
1888,"inactive",68,63,248,7046
1890,"inactive",68,63,256,7046
1902,"inactive",69,64,258,7046
1906,"inactive",69,64,253,7046
1908,"inactive",69,64,252,7046
1920,"inactive",70,65,258,7046
1924,"inactive",70,65,258,7046
1926,"inactive",70,65,256,7046
1934,"inactive",70,65,256,7046
1947,"inactive",70,65,258,7046
1953,"inactive",70,65,260,7046
1968,"inactive",71,66,266,7046
1970,"inactive",71,66,263,7046
1980,"inactive",71,66,261,7046
2005,"inactive",72,67,265,7046
2062,"inactive",74,69,271,7046
2063,"inactive",74,69,270,7046
2069,"inactive",74,69,271,7046
2072,"inactive",74,69,270,7046
2078,"inactive",74,69,270,7046
2085,"inactive",74,69,275,7046
2121,"inactive",76,71,278,7046
2123,"inactive",76,71,276,7046
2132,"inactive",76,71,277,7046
2154,"inactive",77,72,276,7046
2157,"inactive",77,72,277,7046
2161,"inactive",77,72,279,7046
2167,"inactive",77,72,279,7046
2170,"inactive",77,72,283,7046
2178,"inactive",78,73,278,7046
2185,"inactive",78,73,281,7046
2189,"inactive",78,73,279,7046
2195,"inactive",78,73,281,7046
2202,"inactive",78,73,282,7046
2225,"inactive",79,74,280,7046
2229,"inactive",79,74,285,7046
2234,"inactive",79,74,281,7046
2243,"inactive",80,75,286,7046
2244,"inactive",80,75,283,7046
2247,"inactive",80,75,287,7046
2249,"inactive",80,75,290,7046
2258,"inactive",80,75,285,7046
2263,"inactive",80,75,285,7046
2264,"inactive",80,75,284,7046
2270,"inactive",80,75,286,7046
2276,"inactive",81,76,286,7046
2277,"inactive",81,76,289,7046
2285,"inactive",81,76,286,7046
2286,"inactive",81,76,287,7046
2304,"inactive",81,76,293,7046
2315,"inactive",82,77,296,7046
2327,"inactive",82,77,294,7046
2338,"inactive",83,78,288,7046
2341,"inactive",83,78,293,7046
2352,"inactive",83,78,292,7046
2354,"inactive",83,78,290,7046
2375,"inactive",84,79,295,7046
2379,"inactive",84,79,292,7046
2383,"inactive",84,79,291,7046
2392,"inactive",85,80,295,7046
2394,"inactive",85,80,295,7046
2402,"inactive",85,80,296,7046
2404,"inactive",85,80,299,7046
2427,"inactive",86,81,299,7046
2443,"inactive",86,81,300,7046
2448,"inactive",86,81,298,7046
2456,"inactive",87,82,299,7046
2460,"inactive",87,82,297,7046
2465,"inactive",87,82,303,7046
2472,"inactive",87,82,308,7046
2477,"inactive",87,82,303,7046
2489,"inactive",88,83,301,7046
2500,"inactive",88,83,303,7046
2501,"inactive",88,83,303,7046
2513,"inactive",88,83,305,7046
2514,"inactive",88,83,305,7046
2521,"inactive",89,84,306,7046
2529,"inactive",89,84,303,7046
2532,"inactive",89,84,308,7046
2533,"inactive",89,84,304,7046
2538,"inactive",89,84,306,7046
2539,"inactive",89,84,314,7046
2542,"inactive",89,84,307,7046
2543,"inactive",89,84,304,7046
2557,"inactive",89,84,309,7046
2571,"inactive",90,85,305,7046
2589,"inactive",91,86,310,7046
2608,"inactive",91,86,312,7046
